injectionName,acetoside,baicalin,oroxyloside,wogonoside,apigenin,baicalein,wogonin,oroxylinA,hispidulinG,apigeninG,scutellarin,scutellarein,chrysinG,hispidulin,chrysin
BT-3-L,0,0,0,0,0,0,0,0,0,0,8.3464,36.7995,0,11.6555,0
BT-3-S,0,0,0,0,0,0,0.1505,0.1229,0,0,6.3967,12.308,0,0,0
BT-3-R,1.0654,15.8607,0,14.2976,0,4.0568,4.3994,0,0,0,0,0,0,0,1.6306
DE-1-L,0,0,0,89.7799,6.2741,0,16.4122,0,0,0,98.5595,0,3.2365,0,0
DE-1-S,0,0,0,42.2673,0.455,0,5.2085,0.3345,0,0,24.7796,0,3.1497,0,0
DE-1-R,0,38.6552,20.7797,34.5176,0,0,17.3877,0,0,0,0,0,0,0,5.5883
DE-1-F,0,0,0,26.5937,0,0,10.6859,0,0,0,34.5726,0,0,0,0
DE-2-L,0,0,0,64.5265,9.7286,0,20.9592,0,0,0,91.2838,0,2.8935,0,0
DE-2-S,0,0,0,26.2913,0.3919,0,4.0734,0.2888,0,0,20.2422,0,2.21,0,0
DE-2-R,0,31.8351,21.2004,24.3474,0,0,14.6514,0,0,0,0,0,2.4124,0,6.627
DE-2-F,0,0,0,33.4839,7.2235,0,11.9014,0,0,0,48.1592,0,0,0,0
DE-3-L,0,0,0,48.1906,16.41,0,48.8688,0,0,0,35.185,0,2.2816,0,0
DE-3-S,0,0,0,45.3839,0.5705,0,3.955,0,0,0,17.6607,0,3.0383,0,0
DE-3-R,0,22.6368,9.7749,19.0486,0,0,9.1353,0,0,0,0,0,1.5671,0,2.4643
IN-1-L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN-1-S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN-1-R,0,0,0,8.9393,0,0,2.227,0.6458,0,0,0,0,0,0,0
IN-2-L,0,0,0,0,0,0,0,0,0,0,0,3.2578,0,0,0
IN-2-S,0,0,0,1.4282,0,0,0.2835,0,0,0,0,0,0,0,0
IN-2-R,0,0,0,3.6011,0,0,1.133,0.3907,0,0,0,0,0,0,0
IN-3-L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN-3-S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN-3-R,0,0,0,8.3317,0,0,2.7931,0.4198,0,0,0,0,0,0,0
PA-1-L,0,1.1585,0,0,0.5346,0,0,0,0,0,0,0,66.1551,0,23.7237
PA-1-S,0,2.2918,0,0,0.9771,0.6262,0,0.4432,0,0,0,0,46.2988,0,11.3619
PA-1-R,0,20.2213,2.3929,0,0,4.2203,0,4.4799,0,0,0,0,30.8089,0,4.9924
PA-1-F,0,1.4365,0,0,10.1491,0,0,0,0,5.4279,0,0,56.6685,0,20.606
PA-2-L,0,1.8245,0,0,1.7518,0,0,0,0,2.0643,4.0777,0,80.3497,0,36.6737
PA-2-S,0,0.8717,0,0,0,0,0,0,0,0,0.5325,0,34.94,0,8.4795
PA-2-R,0,13.7502,1.8483,0,0,1.6548,0,2.4949,0,0,0,0,22.0991,0,2.8683
PA-3-L,0,1.2453,0,0,0.2924,0.8953,0,0,0,0,4.379,0,105.2922,0,22.2807
PA-3-S,0,1.4775,0,0,0,0,0,0,0,0,0,0,37.7085,0,6.6536
PA-3-R,0,14.7174,1.4515,0,0,2.7277,0,1.925,0,0,0,0,22.0359,0,3.9919
ST-1-L,0,166.7987,0,1.2482,4.5832,10.9333,0.1749,0,0,0,0,30.7601,6.9715,0,0.4865
ST-1-S,0,12.0642,0,3.5229,0,1.2072,1.8197,0,0,0,0,3.2737,0,0,0.7054
ST-1-R,0,19.5001,0,14.0081,0,0,4.1987,0.2814,0,0,0,0,1.1729,0,1.3103
ST-1-F,0,26.7085,0,4.486,0.6775,3.4533,1.0858,0,0,24.277,0,19.1614,1.5116,0,0.3826
ST-2-L,0,91.6873,0,1.2117,0,9.4997,0,0,0,2.0417,13.4241,15.5414,3.9998,0,0.7686
ST-2-S,0,19.6011,0,6.3901,0,2.128,3.6172,0,0,0,0,5.144,0,0,1.3826
ST-2-R,0,19.1143,8.9364,19.7469,0,0,7.4161,0.7039,0,0,0,0,1.3328,0,3.4496
ST-3-L,0,134.0463,0,1.8362,0,26.1547,0,0,0,0,0,22.4835,5.7922,0,1.5331
ST-3-S,0,16.6343,0,4.2014,0,1.7964,2.9734,0,0,0,0,3.5683,1.0086,0,1.3002
ST-3-R,0,6.8619,4.723,7.5054,0,2.5706,3.2213,0.7283,0,0,0,0,0.5783,0,1.1865
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
