injectionName,acteoside,baicalin,oroxyloside,wogonoside,apigenin,baicalein,wogonin,oroxylinA,hispidulinG,apigeninG,isoscutellarin,scutellarein,chrysinG,hispidulin,chrysin,scutellarin
PA-3-L,0,0.0529,0,0,0.0098,0.0397,0,0,0,0.0765,0,0,6.5488,0,1.6248,0
PA-3-S,0.0331,0.0859,0,0,0,0.0265,0,0,0,0.0404,0,0,2.3111,0,0.5924,0
PA-3-R,0.1162,0.9204,0.0579,0,0,0.1387,0,0.1213,0,0.049,0,0,1.3439,0,0,0
ST-1-L,0.0617,10.6861,0,0.0886,0,0.6179,0,0,0,0,0,0,0.4838,0,0,1.6753
ST-1-S,0,0.7366,0,0.1672,0,0.0646,0.1256,0,0,0,0.0104,0,0.0558,0,0,0.1618
ST-1-R,0.0517,1.1495,0.0432,0.8422,0,0.0452,0.2917,0.0193,0,0,0,0,0.1343,0,0.0831,0
ST-1-F,0,1.7102,0,0.2072,0.041,0.1354,0.0598,0,0,1.4423,0,0,0.0941,0,0,0.8916
ST-2-L,0,5.8671,0,0.0761,0,0.5414,0.0159,0,0,0,0,0,0.3042,0,0,0.6567
ST-2-S,0,1.2289,0,0.2961,0,0.1051,0.2493,0,0,0,0,0,0.075,0,0,0.2125
ST-2-R,0,1.0895,0.5238,1.1047,0,0.0393,0.6154,0.0539,0,0,0,0,0.2959,0,0.2103,0
ST-3-L,0,8.7773,0,0.1095,0,1.5028,0.0392,0,0,0,0,0,0.4746,0,0,1.0158
ST-3-S,0,1.0551,0,0.2178,0,0.1119,0.1985,0,0,0,0,0,0,0,0,0.1633
ST-3-R,0,0.3733,0.2712,0.437,0,0.0156,0.2255,0.0434,0,0,0,0,0.0841,0,0.086,0
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scutellarin_0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000789889
scutellarin_0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00492891
scutellarin_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0092891
scutellarin_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01
scutellarin_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054565561
scutellarin_25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.535845182
scutellarin_50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.676540284
scutellarin_100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.74804107
